City_ID,City,Lat,Lng,Max Temp(C),Humidity,Cloudiness,Wind Speed,Country,Date
350,kozan,37.4552,35.8157,13.86,50,100,2.86,TR,1701663530
351,enewetak,11.3474,162.3373,27.67,78,97,9.55,MH,1701663530
352,fort mcmurray,56.7268,-111.381,-9.23,92,0,3.09,CA,1701663530
353,ribeira brava,32.65,-17.0667,20.56,78,95,3.07,PT,1701663530
354,shitanjing,39.2342,106.3439,5.0,24,7,4.78,CN,1701663530
355,holualoa,19.6228,-155.9522,24.91,84,75,2.06,US,1701663530
356,morant bay,17.8815,-76.4093,26.79,80,56,3.93,JM,1701663530
357,tanout,14.9709,8.8879,20.18,17,59,4.68,NE,1701663531
358,nema,57.5067,50.5011,-9.22,94,100,5.06,RU,1701663531
359,bloemfontein,-29.1211,26.214,15.71,67,0,0.0,ZA,1701663531
360,imbituba,-28.24,-48.6703,25.48,97,100,4.44,BR,1701663531
361,naigarhi,24.7833,81.7833,23.19,47,98,2.2,IN,1701663531
362,buka,40.8108,69.1986,11.5,40,38,0.43,UZ,1701663531
363,cill airne,52.05,-9.5167,0.22,96,63,3.06,IE,1701663531
364,cariati,39.4922,16.9594,11.58,77,67,6.22,IT,1701663532
365,mineiros,-17.5694,-52.5511,21.32,86,87,1.59,BR,1701663473
366,la passe,45.5549,-0.8967,6.13,82,97,10.47,FR,1701663532
367,el granada,37.5027,-122.4694,14.96,90,100,0.0,US,1701663532
368,geraldton,-28.7667,114.6,28.23,51,0,8.23,AU,1701663532
369,sao caetano de odivelas,-0.75,-48.02,24.84,93,55,2.11,BR,1701663532
370,pacasmayo,-7.4006,-79.5714,20.12,85,84,4.79,PE,1701663532
371,lethem,3.3803,-59.7968,27.3,61,9,4.75,GY,1701663532
372,sinabang,2.4803,96.3801,28.36,73,100,1.4,ID,1701663533
373,nova vicosa,-17.8919,-39.3719,24.82,86,5,4.63,BR,1701663533
374,shixing,24.9482,114.0657,11.03,97,100,1.15,CN,1701663533
375,padangsidempuan,1.3667,99.2667,25.08,88,100,1.0,ID,1701663409
376,cestos city,5.46,-9.5828,26.44,83,33,2.41,LR,1701663533
377,deschutes river woods,43.9915,-121.3584,9.67,87,75,7.72,US,1701663533
378,minas de marcona,-15.2119,-75.1103,14.04,84,67,4.78,PE,1701663272
379,general villegas,-35.0328,-63.0125,12.27,60,51,2.06,AR,1701663533
380,slavgorod,52.9978,78.6449,-9.96,78,100,8.66,RU,1701663534
381,plouzane,48.3833,-4.6167,11.18,90,100,4.63,FR,1701663534
382,eastham,41.8301,-69.9739,9.01,96,100,5.14,US,1701663469
383,cockburn town,21.4612,-71.1419,26.31,69,9,6.66,TC,1701663314
384,juegang,32.3174,121.1855,13.47,47,85,1.87,CN,1701663534
385,namibe,-15.1961,12.1522,22.46,89,100,1.5,AO,1701663534
386,paphos,34.7667,32.4167,12.88,76,20,3.6,CY,1701663534
387,paracatu,-17.2222,-46.8747,19.82,92,100,0.83,BR,1701663535
388,bandarbeyla,9.4942,50.8122,25.2,69,72,8.42,SO,1701663535
389,ouesso,1.6136,16.0517,22.02,98,98,0.96,CG,1701663535
390,ifanadiana,-21.3,47.6333,20.45,70,56,0.09,MG,1701663535
391,puerto santa,-8.9906,-78.6456,19.12,89,94,3.33,PE,1701663535
392,masterton,-40.9597,175.6575,16.05,95,100,1.56,NZ,1701663535
393,harstad,68.799,16.5293,-2.69,79,95,2.85,NO,1701663535
394,lorengau,-2.0226,147.2712,29.96,66,58,1.32,PG,1701663535
395,badarpur,24.9,92.6,25.51,58,100,1.18,IN,1701663536
396,ocean city,39.2776,-74.5746,11.17,94,99,0.89,US,1701663536
397,krotovka,53.2858,51.1686,1.75,100,100,5.69,RU,1701663536
398,santo antonio,-6.3106,-35.4789,24.42,91,100,1.79,BR,1701663247
399,lesosibirsk,58.2358,92.4828,-6.95,91,100,5.8,RU,1701663536
400,kitimat,54.0524,-128.6534,4.27,64,100,1.79,CA,1701663536
401,baise city,23.8997,106.6133,19.63,99,100,0.5,CN,1701663341
402,viedma,-40.8135,-62.9967,8.19,57,0,4.02,AR,1701663536
403,tolanaro,-25.0319,46.9987,23.28,69,0,5.06,MG,1701663537
404,puerto baquerizo moreno,-0.9,-89.6,23.56,82,87,4.13,EC,1701663537
405,egletons,45.4034,2.0507,4.4,88,100,4.29,FR,1701663537
406,alice springs,-23.7,133.8833,37.75,14,0,2.57,AU,1701663313
